Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Variety,Year,Quantity per Application Area ha
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),3,L,5.84,24/04/2017,3.5,1.947,Wheat Winter,CF21,KWS Lili,2017,0.857
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),1.5,L,2.92,24/04/2017,2.9,1.947,Wheat Winter,CF24,KWS Lili,2017,0.517
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),3.939,L,7.67,24/04/2017,4,1.947,Wheat Winter,CF3,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),4.431,L,8.62,24/04/2017,4.5,1.947,Wheat Winter,CF4,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),3.268,L,6.36,24/04/2017,6.7,1.947,Wheat Winter,CF5,KWS Lili,2017,0.488
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),8.369,L,16.29,24/04/2017,8.5,1.947,Wheat Winter,CF8,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),12.8,L,24.92,24/04/2017,13,1.947,Wheat Winter,CF9.A,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),2.927,L,5.7,24/04/2017,6,1.947,Wheat Winter,CF9.B/02,KWS Lili,2017,0.488
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),7.66,L,14.91,25/04/2017,7.78,1.947,Wheat Winter,CF17,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),12.8,L,24.92,25/04/2017,13,1.947,Wheat Winter,CF52,KWS Lili,2017,0.985
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),3.321,L,105.5,24/03/2017,16.7,15.56,Barley Winter,CF44,Flagon,2017,0.199
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),3.679,L,116.87,24/03/2017,18.5,15.56,Barley Winter,CF55,Flagon,2017,0.199
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),4,L,62.95,04/04/2017,7.8,15.737,Wheat Winter,CF11,KWS Lili,2017,0.513
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),4.119,L,64.81,04/04/2017,7.78,15.737,Wheat Winter,CF17,KWS Lili,2017,0.529
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),1.487,L,23.4,04/04/2017,2.9,15.737,Wheat Winter,CF24,KWS Lili,2017,0.513
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),2.118,L,33.32,04/04/2017,4,15.737,Wheat Winter,CF3,KWS Lili,2017,0.529
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),2.382,L,37.49,04/04/2017,4.5,15.737,Wheat Winter,CF4,KWS Lili,2017,0.529
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),3.436,L,54.07,04/04/2017,6.7,15.737,Wheat Winter,CF5,KWS Lili,2017,0.513
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),4.5,L,70.81,04/04/2017,8.5,15.737,Wheat Winter,CF8,KWS Lili,2017,0.529
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),6.882,L,108.3,04/04/2017,13,15.737,Wheat Winter,CF9.A,KWS Lili,2017,0.529
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),3.077,L,48.42,04/04/2017,6,15.737,Wheat Winter,CF9.B/02,KWS Lili,2017,0.513
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),6.5,L,102.29,05/04/2017,13,15.737,Wheat Winter,CF52,KWS Lili,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.584,L,45.86,26/05/2017,8.2,8.214,Barley Spring,CF26,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.107,L,41.95,26/05/2017,7.5,8.214,Barley Spring,CF40,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),1.362,L,11.19,26/05/2017,2,8.214,Barley Spring,CF41,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.652,L,46.42,26/05/2017,8.3,8.214,Barley Spring,CF42,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.856,L,48.1,26/05/2017,8.6,8.214,Barley Spring,CF43,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.788,L,47.54,26/05/2017,8.5,8.214,Barley Spring,CF53,Concerto,2017,0.681
FH Rockcliffe FGrp,Variable Costs,Growth Regulators,Completed,Vivax (16682),5.652,L,46.42,26/05/2017,8.3,8.214,Barley Spring,CF54,Concerto,2017,0.681
,,SUB TOTALS FOR Growth Regulators,,,,,1409.56,,,,,,,,
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),569.318,g,257.89,05/04/2017,16.7,0.435,Barley Winter,CF44,Flagon,2017,34.091
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),630.682,g,285.69,05/04/2017,18.5,0.435,Barley Winter,CF55,Flagon,2017,34.091
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),544,g,246.42,05/04/2017,13,0.435,Wheat Winter,CF52,KWS Lili,2017,41.846
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),125,g,56.62,24/04/2017,3.5,0.435,Wheat Winter,CF21,KWS Lili,2017,35.714
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),121,g,54.81,24/04/2017,2.9,0.435,Wheat Winter,CF24,KWS Lili,2017,41.724
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),350.973,g,158.98,18/05/2017,8.2,0.435,Barley Spring,CF26,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),321.012,g,145.41,18/05/2017,7.5,0.435,Barley Spring,CF40,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),85.603,g,38.78,18/05/2017,2,0.435,Barley Spring,CF41,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),355.253,g,160.92,18/05/2017,8.3,0.435,Barley Spring,CF42,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),368.093,g,166.74,18/05/2017,8.6,0.435,Barley Spring,CF43,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),363.813,g,164.8,18/05/2017,8.5,0.435,Barley Spring,CF53,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Ally Max SX (18768),355.253,g,160.92,18/05/2017,8.3,0.435,Barley Spring,CF54,Concerto,2017,42.802
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Anthem (15761),7.5,L,0,27/09/2003,6.7,0,Wheat Winter,CF5,KWS Lili,2017,1.119
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Anthem (15761),3.246,L,20.5,27/09/2016,2.9,4.193,Wheat Winter,CF24,KWS Lili,2017,1.119
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Anthem (15761),6.716,L,42.41,27/09/2016,6,4.193,Wheat Winter,CF9.B/02,KWS Lili,2017,1.119
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Astrokerb (16184),19.048,L,438.1,28/11/2016,12,23,Rape Winter,CF14,Rape Winter,2017,1.587
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Astrokerb (16184),22.222,L,511.11,28/11/2016,14,23,Rape Winter,CF16.B/02,Rape Winter,2017,1.587
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Astrokerb (16184),8.73,L,200.79,28/11/2016,5.5,23,Rape Winter,CF32,Rape Winter,2017,1.587
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Astrokerb (16184),10,L,230,28/11/2016,6,23,Rape Winter,CF50,Rape Winter,2017,1.667
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Axial (12521),2,L,197.18,25/04/2017,8.2,84.504,Barley Spring,CF26,Concerto,2017,0.244
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Axial (12521),4,L,394.35,25/04/2017,8.3,84.504,Barley Spring,CF54,Concerto,2017,0.482
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Banastar (16834),18,L,0,02/09/2016,12,0,Rape Winter,CF14,Rape Winter,2017,1.5
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Banastar (16834),9,L,0,02/09/2016,6,0,Rape Winter,CF50,Rape Winter,2017,1.5
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Banastar (16834),9,L,0,19/09/2016,12,0,Rape Winter,CF14,Rape Winter,2017,0.75
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Banastar (16834),4.5,L,0,19/09/2016,6,0,Rape Winter,CF50,Rape Winter,2017,0.75
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),2.596,L,48.88,28/04/2017,3.5,18.586,Fodder Beet,CF29,Fodder Beet,2017,0.742
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),9,L,169.44,28/04/2017,8.8,18.586,Sugar Beet,CF1,Sugar Beet,2017,1.023
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),6.825,L,128.49,28/04/2017,9.2,18.586,Sugar Beet,CF2,Sugar Beet,2017,0.742
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),3.709,L,69.83,28/04/2017,5,18.586,Sugar Beet,CF28,Sugar Beet,2017,0.742
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),11.869,L,223.46,02/05/2017,16,18.586,Sugar Beet,CF18,Sugar Beet,2017,0.742
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),4.529,L,85.27,11/05/2017,3.5,18.586,Fodder Beet,CF29,Fodder Beet,2017,1.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),11,L,207.09,11/05/2017,8.8,18.586,Sugar Beet,CF1,Sugar Beet,2017,1.25
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),16,L,301.23,11/05/2017,16,18.586,Sugar Beet,CF18,Sugar Beet,2017,1
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),11,L,207.09,11/05/2017,9.2,18.586,Sugar Beet,CF2,Sugar Beet,2017,1.196
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),6.471,L,121.82,11/05/2017,5,18.586,Sugar Beet,CF28,Sugar Beet,2017,1.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),5.512,L,103.77,09/06/2017,3.5,18.586,Fodder Beet,CF29,Fodder Beet,2017,1.575
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),13,L,244.75,09/06/2017,8.8,18.586,Sugar Beet,CF1,Sugar Beet,2017,1.477
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Betanal Maxx Pro (15086),14.488,L,272.76,09/06/2017,9.2,18.586,Sugar Beet,CF2,Sugar Beet,2017,1.575
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,BETA-TEAM (16975),19.81,L,285.1,08/06/2017,16,13.859,Sugar Beet,CF18,Sugar Beet,2017,1.238
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,BETA-TEAM (16975),6.19,L,89.1,08/06/2017,5,13.859,Sugar Beet,CF28,Sugar Beet,2017,1.238
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Debut (18766),0.175,kg,127.5,11/05/2017,8.8,728.583,Sugar Beet,CF1,Sugar Beet,2017,0.02
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Duplosan (05889),4.5,L,27.45,24/04/2017,3.5,6.1,Wheat Winter,CF21,KWS Lili,2017,1.286
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),6.476,L,111.39,28/11/2016,12,17.2,Rape Winter,CF14,Rape Winter,2017,0.54
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),7.556,L,129.96,28/11/2016,14,17.2,Rape Winter,CF16.B/02,Rape Winter,2017,0.54
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),1.5,L,25.8,28/11/2016,3.5,17.2,Rape Winter,CF25,Rape Winter,2017,0.429
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),1.5,L,25.8,28/11/2016,3.5,17.2,Rape Winter,CF27,Rape Winter,2017,0.429
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),2.968,L,51.05,28/11/2016,5.5,17.2,Rape Winter,CF32,Rape Winter,2017,0.54
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),1.333,L,23.73,21/06/2017,1,17.8,Fodder Beet,CF29,Fodder Beet,2017,1.333
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),1,L,17.8,21/06/2017,0.75,17.8,Sugar Beet,CF18,Sugar Beet,2017,1.333
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),12,L,213.6,21/06/2017,9.2,17.8,Sugar Beet,CF2,Sugar Beet,2017,1.304
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Falcon (16459),0.667,L,11.87,21/06/2017,0.5,17.8,Sugar Beet,CF28,Sugar Beet,2017,1.333
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Finish Sx (18762),465,g,131.39,24/05/2017,7.78,0.229,Wheat Winter,CF17,KWS Lili,2017,59.769
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),6.381,L,41.48,18/05/2017,8.2,6.5,Barley Spring,CF26,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),5.837,L,37.94,18/05/2017,7.5,6.5,Barley Spring,CF40,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),1.556,L,10.12,18/05/2017,2,6.5,Barley Spring,CF41,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),6.459,L,41.98,18/05/2017,8.3,6.5,Barley Spring,CF42,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),6.693,L,43.5,18/05/2017,8.6,6.5,Barley Spring,CF43,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),6.615,L,43,18/05/2017,8.5,6.5,Barley Spring,CF53,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),6.459,L,41.98,18/05/2017,8.3,6.5,Barley Spring,CF54,Concerto,2017,0.778
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),5,L,32.5,24/05/2017,7.78,6.5,Wheat Winter,CF17,KWS Lili,2017,0.643
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),1.458,L,9.48,24/05/2017,3.5,6.5,Wheat Winter,CF21,KWS Lili,2017,0.417
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),1.667,L,10.83,24/05/2017,4,6.5,Wheat Winter,CF3,KWS Lili,2017,0.417
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Gal-Gone (17505),1.875,L,12.19,24/05/2017,4.5,6.5,Wheat Winter,CF4,KWS Lili,2017,0.417
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),46.561,L,89.21,03/07/2017,12,1.967,Rape Winter,CF14,Rape Winter,2017,3.88
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),54.321,L,104.08,03/07/2017,14,1.967,Rape Winter,CF16.B/02,Rape Winter,2017,3.88
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),14,L,26.83,03/07/2017,3.5,1.967,Rape Winter,CF25,Rape Winter,2017,4
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),14,L,26.83,03/07/2017,3.5,1.967,Rape Winter,CF27,Rape Winter,2017,4
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),22,L,42.15,03/07/2017,5.5,1.966,Rape Winter,CF32,Rape Winter,2017,4
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Garryowen XL (17508),9.118,L,17.47,03/07/2017,2.35,1.966,Rape Winter,CF50,Rape Winter,2017,3.88
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),3.5,L,64.95,11/05/2017,3.5,17.376,Fodder Beet,CF29,Fodder Beet,2017,1
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),12,L,222.69,11/05/2017,16,17.376,Sugar Beet,CF18,Sugar Beet,2017,0.75
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),9,L,167.02,11/05/2017,9.2,17.376,Sugar Beet,CF2,Sugar Beet,2017,0.978
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),5,L,92.79,11/05/2017,5,17.376,Sugar Beet,CF28,Sugar Beet,2017,1
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),3.583,L,66.48,09/06/2017,3.5,17.376,Fodder Beet,CF29,Fodder Beet,2017,1.024
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),9,L,167.02,09/06/2017,8.8,17.376,Sugar Beet,CF1,Sugar Beet,2017,1.023
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Goltix 70 SC (16638),9.417,L,174.76,09/06/2017,9.2,17.376,Sugar Beet,CF2,Sugar Beet,2017,1.024
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.5,L,0,27/09/2003,6.7,0,Wheat Winter,CF5,KWS Lili,2017,0.373
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.3,L,173.51,27/09/2016,7.8,70,Wheat Winter,CF11,KWS Lili,2017,0.295
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),1.082,L,81.63,27/09/2016,2.9,70,Wheat Winter,CF24,KWS Lili,2017,0.373
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.239,L,168.89,27/09/2016,6,70,Wheat Winter,CF9.B/02,KWS Lili,2017,0.373
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),4,L,301.75,10/10/2016,13,70,Wheat Winter,CF52,KWS Lili,2017,0.308
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.289,L,172.71,19/10/2016,7.78,70,Wheat Winter,CF17,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),0.883,L,66.6,19/10/2016,3,70,Wheat Winter,CF21,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),1.177,L,88.79,19/10/2016,4,70,Wheat Winter,CF3,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),1.324,L,99.89,19/10/2016,4.5,70,Wheat Winter,CF4,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.501,L,188.69,19/10/2016,8.5,70,Wheat Winter,CF8,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),3.825,L,288.58,19/10/2016,13,70,Wheat Winter,CF9.A,KWS Lili,2017,0.294
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),4.27,L,322.11,26/10/2016,16.7,70,Barley Winter,CF44,Flagon,2017,0.256
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Herold (16195),4.73,L,356.83,26/10/2016,18.5,70,Barley Winter,CF55,Flagon,2017,0.256
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Horus (16216),9.795,L,282.79,24/03/2017,7.8,28.648,Wheat Winter,CF11,KWS Lili,2017,1.256
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Horus (16216),8.414,L,242.91,24/03/2017,6.7,28.648,Wheat Winter,CF5,KWS Lili,2017,1.256
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Horus (16216),8.791,L,253.79,24/03/2017,7,28.648,Wheat Winter,CF9.B/02,KWS Lili,2017,1.256
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Katamaran (16766),20.667,L,554.6,02/09/2016,14,26.5,Rape Winter,CF16.B/02,Rape Winter,2017,1.476
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Katamaran (16766),5.167,L,138.65,02/09/2016,3.5,26.5,Rape Winter,CF25,Rape Winter,2017,1.476
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Katamaran (16766),5.167,L,138.65,02/09/2016,3.5,26.5,Rape Winter,CF27,Rape Winter,2017,1.476
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Katamaran (16766),8.5,L,228.1,02/09/2016,5.5,26.5,Rape Winter,CF32,Rape Winter,2017,1.545
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Kerb Flo 500 (15586),5,L,61.5,28/11/2016,3.5,12.3,Rape Winter,CF25,Rape Winter,2017,1.429
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Kerb Flo 500 (15586),5,L,61.5,28/11/2016,3.5,12.3,Rape Winter,CF27,Rape Winter,2017,1.429
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Kyleo (16567),60,L,296,26/09/2016,16.7,4.933,Barley Winter,CF44,Flagon,2017,3.593
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Lenazar Flowable (11068),0.827,L,15.81,09/06/2017,3.5,19.125,Fodder Beet,CF29,Fodder Beet,2017,0.236
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Lenazar Flowable (11068),2.173,L,41.56,09/06/2017,9.2,19.125,Sugar Beet,CF2,Sugar Beet,2017,0.236
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),8,L,0,02/09/2016,12,0,Rape Winter,CF14,Rape Winter,2017,0.667
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),3,L,0,02/09/2016,5.5,0,Rape Winter,CF32,Rape Winter,2017,0.545
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),4,L,0,02/09/2016,6,0,Rape Winter,CF50,Rape Winter,2017,0.667
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),10,L,0,19/09/2016,14,0,Rape Winter,CF16.B/02,Rape Winter,2017,0.714
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),2.5,L,42.77,19/09/2016,3.5,17.108,Rape Winter,CF25,Rape Winter,2017,0.714
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Leopard 5 EC (16915),2.5,L,42.77,19/09/2016,3.5,17.108,Rape Winter,CF27,Rape Winter,2017,0.714
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),10,L,49,27/09/2016,7.8,4.9,Wheat Winter,CF11,KWS Lili,2017,1.282
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),30,L,147,10/10/2016,13,4.9,Wheat Winter,CF52,KWS Lili,2017,2.308
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),8.585,L,42.07,19/10/2016,7.78,4.9,Wheat Winter,CF17,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),3.31,L,16.22,19/10/2016,3,4.9,Wheat Winter,CF21,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),4.414,L,21.63,19/10/2016,4,4.9,Wheat Winter,CF3,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),4.966,L,24.33,19/10/2016,4.5,4.9,Wheat Winter,CF4,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),9.38,L,45.96,19/10/2016,8.5,4.9,Wheat Winter,CF8,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),14.345,L,70.29,19/10/2016,13,4.9,Wheat Winter,CF9.A,KWS Lili,2017,1.103
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),40.327,L,197.6,26/10/2016,16.7,4.9,Barley Winter,CF44,Flagon,2017,2.415
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Most Micro (16063),44.673,L,218.9,26/10/2016,18.5,4.9,Barley Winter,CF55,Flagon,2017,2.415
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Naspar Extra (17038),1,L,21.95,19/09/2016,3.5,24.882,Rape Winter,CF25,Rape Winter,2017,0.286
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Naspar Extra (17038),1,L,21.95,19/09/2016,3.5,24.882,Rape Winter,CF27,Rape Winter,2017,0.286
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Naspar Extra (17038),1.4,L,30.74,19/09/2016,5.5,24.882,Rape Winter,CF32,Rape Winter,2017,0.255
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Rosate 36 (14459),6.364,L,11.26,22/03/2017,3.5,1.77,Fodder Beet,CF29,Fodder Beet,2017,1.818
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Rosate 36 (14459),16,L,28.32,22/03/2017,8.8,1.77,Sugar Beet,CF1,Sugar Beet,2017,1.818
FH Rockcliffe FGrp,Variable Costs,Herbicides,Completed,Rosate 36 (14459),29.091,L,51.49,22/03/2017,16,1.77,Sugar Beet,CF18,Sugar Beet,2017,1.818
